"messageId","deviceId","temperature","humidity","enqueuedTimeUtc"
"1","Raspberry Pi Web Client","21.533918279089207","62.049337654075785","2020-06-27T11:49:52.583Z"
"2","Raspberry Pi Web Client","27.787553476779234","79.58891052389029","2020-06-27T11:49:53.588Z"
"3","Raspberry Pi Web Client","29.098405839319042","72.16314028869465","2020-06-27T11:49:54.585Z"
"4","Raspberry Pi Web Client","29.131030128595658","74.1662945972788","2020-06-27T11:49:55.584Z"
"5","Raspberry Pi Web Client","23.50802809147398","70.58544235687907","2020-06-27T11:49:56.583Z"
"6","Raspberry Pi Web Client","25.326392825175652","77.45252650727988","2020-06-27T11:49:57.593Z"
"7","Raspberry Pi Web Client","23.54130513334154","70.78020066280423","2020-06-27T11:49:58.584Z"
"8","Raspberry Pi Web Client","27.098223531506207","73.94176930046554","2020-06-27T11:49:59.596Z"
"9","Raspberry Pi Web Client","26.457615179184","68.35954408417221","2020-06-27T11:50:00.596Z"
"10","Raspberry Pi Web Client","23.36443928945591","64.57073888488085","2020-06-27T11:50:01.586Z"
"11","Raspberry Pi Web Client","26.2299365467119","78.71942667998869","2020-06-27T11:50:02.596Z"
"12","Raspberry Pi Web Client","25.979044217933556","65.772987592728","2020-06-27T11:50:03.588Z"
"13","Raspberry Pi Web Client","28.039063276400206","65.29569269031597","2020-06-27T11:50:04.583Z"
"14","Raspberry Pi Web Client","28.915836876383228","74.13972677133903","2020-06-27T11:50:05.583Z"
"15","Raspberry Pi Web Client","27.305953630537644","62.318266414667676","2020-06-27T11:50:06.597Z"
"16","Raspberry Pi Web Client","24.53221578210003","74.79670962363114","2020-06-27T11:50:07.583Z"
"17","Raspberry Pi Web Client","25.568068365039554","64.38159557418285","2020-06-27T11:50:08.583Z"
"18","Raspberry Pi Web Client","30.04889300975202","68.76328248218877","2020-06-27T11:50:09.584Z"
"19","Raspberry Pi Web Client","27.711396798393015","70.15561315638966","2020-06-27T11:50:10.586Z"
